Area,Latitude,Longitude
56,41.8,-69.88
56,42.11,-70.1
57,41.718,-69.8
57,41.5744,-69.66
57,41.23,-69.97
57,41.23,-70.5
57,41.54,-70.5
57,41.65,-70.15
58,41.5744,-69.66
58,41,-69.1
58,40.57,-69.21
58,40.59,-69.56
58,40.64,-70.5
58,41.23,-70.5
58,41.23,-69.97
59,41.16,-69.01
59,41.08,-68.82
59,40.6,-68.69
59,40.57,-69.21
59,41,-69.1
60,40.59,-69.56
60,40.05,-69.56
60,40.06,-70.5
60,40.64,-70.5
61,40.6,-68.69
61,40.23,-68.6
61,40.04,-69.25
61,40.05,-69.56
61,40.59,-69.56
61,40.57,-69.21
62,40.23,-68.6
62,39.56,-68.155
62,38.965,-70.155
62,40.06,-70.5
62,40.05,-69.56
62,40.04,-69.25
63,39.56,-68.155
63,38.89,-67.71
63,37.87,-69.81
63,38.965,-70.155
64,41.03,-66.57
64,40.575,-66.14
64,39.56,-68.155
64,40.23,-68.6
64,40.69,-66.98
65,40.575,-66.14
65,40.1,-65.71
65,38.89,-67.71
65,39.56,-68.155
66,46.625,-60.35
66,46.925,-59.9333
66,47.15,-60.2833
66,47.0333,-60.4583
67,46.925,-59.9333
67,47.15,-60.2833
67,47.455,-59.8417
67,47.2383,-59.4917
67,47.0033,-59.825
68,47.2383,-59.4917
68,47.455,-59.8417
68,47.8033,-59.3583
68,47.5833,-59.0167
