"depth_bin","month","box","variable","mval","min","max","std","no","min_depth","max_depth"
2,5,1,"cphl",2.18210563380282,0.07,5.65,1.4830428678603,142,10,30
2,5,1,"ntrz",1.58318055555556,0.001,9.33,1.58195115012888,108,10,30
2,5,1,"phos",0.371487903225807,0.02,0.97,0.190925894018988,124,10,30
2,5,1,"slca",1.95463596491228,0.191,9,1.5433928079619,114,10,30
3,5,1,"cphl",0.829410222222222,0.04,4.09,0.838927696597421,225,30,100
3,5,1,"ntrz",6.01846832579185,0.09,24.8999999999999,3.58958115547196,221,30,100
3,5,1,"phos",0.635696652719665,0.06,1.26,0.243541131215634,239,30,100
3,5,1,"slca",3.69277212389381,0.41,29,2.61291669043906,226,30,100
4,5,1,"cphl",0.08801,0.02,0.47,0.0780298458761622,60,100,5000
4,5,1,"ntrz",15.1822843137255,6.478,27.85,4.97323122642239,153,100,5000
4,5,1,"phos",1.06521719457014,0.08,2.05,0.379088077884167,221,100,5000
4,5,1,"slca",8.94883333333333,1,32,5.9779347243277,162,100,5000
1,6,1,"cphl",0.928855964912279,0.13,13.1999999999999,1.7322449565189,57,0,10
1,6,1,"ntrz",0.577592947368421,0,2.73,0.656333570712646,95,0,10
1,6,1,"phos",0.316794392523365,0,0.86,0.171716123088768,107,0,10
1,6,1,"slca",1.20516494845361,0,2.92,0.725398937373032,97,0,10
2,6,1,"cphl",0.968022857142857,0.1,15.16,2.18484237245647,77,10,30
2,6,1,"ntrz",0.798938142857143,0,10.33667,1.57763817673948,140,10,30
2,6,1,"phos",0.33899358974359,0.02,0.8,0.178636574544787,156,10,30
2,6,1,"slca",1.33690344827586,0,7.98,0.964117186314174,145,10,30
3,6,1,"cphl",0.557372093023256,0,3.33,0.593899615988566,129,30,100
3,6,1,"ntrz",5.20323762962962,0,19.09,4.42823019521229,270,30,100
3,6,1,"phos",0.570918280254777,0.01,1.44,0.282099261985932,314,30,100
3,6,1,"slca",3.61485211267606,0,14.73,2.4735031093092,284,30,100
4,6,1,"cphl",0.14287880952381,0,1.77,0.344062213575893,42,100,5000
4,6,1,"ntrz",15.8955071942446,7.17,25.0599999999999,3.84370645835915,139,100,5000
4,6,1,"phos",1.09773771573604,0.38,1.94,0.329248135883897,197,100,5000
4,6,1,"slca",10.8558758389262,3.28,21.2199999999999,3.96928388509733,149,100,5000
1,7,1,"cphl",0.220236836158192,0.04,0.8,0.13056855895964,177,0,10
1,7,1,"ntrz",0.4963216374269,0,22.3939999999999,2.22648147217551,171,0,10
1,7,1,"phos",0.286997175141243,0,1.557,0.159543787602117,177,0,10
1,7,1,"slca",1.14646,0,12.295,1.43530704636894,175,0,10
2,7,1,"cphl",0.430467536231884,0,1.77,0.373421399646302,207,10,30
2,7,1,"ntrz",0.555690104166666,0,7.13,0.890474173088815,192,10,30
2,7,1,"phos",0.2776675,0,0.705,0.118010478598492,200,10,30
2,7,1,"slca",1.10830710659899,0,4.957,0.824782385245019,197,10,30
3,7,1,"cphl",0.553233294930875,0.01,4.415,0.556697770541674,434,30,100
3,7,1,"ntrz",4.49794468085106,0,17.3,3.83732867589802,470,30,100
3,7,1,"phos",0.515026748971194,0,1.12,0.24028494318661,486,30,100
3,7,1,"slca",3.42553067484662,0,11.77,2.41152321410595,489,30,100
4,7,1,"cphl",0.0198715306122449,0,0.304,0.0326566936273538,196,100,5000
4,7,1,"ntrz",14.5638813559322,0,29.6999999999999,4.85076435616539,413,100,5000
4,7,1,"phos",1.09464055793991,0,1.97,0.249723727103369,466,100,5000
4,7,1,"slca",11.1123509719222,0,41.5,4.16439723054367,463,100,5000
1,8,1,"cphl",0.163089743589744,0.02,0.407,0.0965356241713029,39,0,10
1,8,1,"ntrz",0.662782608695652,0,9.17,1.8437352535069,46,0,10
1,8,1,"phos",0.263784482758621,0,0.89,0.277204704778765,58,0,10
1,8,1,"slca",1.43610169491525,0,7,1.44826446307195,59,0,10
2,8,1,"cphl",0.35958064516129,0.03,1.522,0.346280019078351,31,10,30
2,8,1,"ntrz",0.396027397260274,0,7.72,1.10513513468066,73,10,30
2,8,1,"phos",0.214375,0,1.03,0.245972220188369,92,10,30
2,8,1,"slca",1.30640476190476,0,6.155,1.32362899398283,84,10,30
3,8,1,"cphl",0.355047826086957,0.02,3.44,0.556284584538498,46,30,100
3,8,1,"ntrz",4.59708088235294,0,16.01,4.51065491024701,136,30,100
3,8,1,"phos",0.528517441860465,0,1.365,0.345236053219447,172,30,100
3,8,1,"slca",3.44291772151899,0,24,2.85018487994639,158,30,100
4,8,1,"cphl",0.0112866666666667,0,0.031,0.00914641746155031,15,100,5000
4,8,1,"ntrz",17.4365079051383,0.87,27.6,5.97491300610249,253,100,5000
4,8,1,"phos",1.17149540229885,0.1,1.85,0.331386297029609,435,100,5000
4,8,1,"slca",12.1011742788462,1.475,30,5.31603461557687,416,100,5000
1,9,1,"cphl",0.316328571428571,0.08,0.9983,0.237564402095215,21,0,10
1,9,1,"ntrz",0.651703703703704,0,9.1,1.81213651011914,54,0,10
1,9,1,"phos",0.874814814814815,0,2.56,0.682356601123734,54,0,10
1,9,1,"slca",6.42472641509434,0.585,43,7.70420838890495,53,0,10
2,9,1,"cphl",0.446420833333333,0.137,1.416,0.376819722758967,24,10,30
2,9,1,"ntrz",0.362464788732394,0,7.5,1.01789068078462,71,10,30
2,9,1,"phos",0.897304054054054,0,3.01,0.659634175377387,74,10,30
2,9,1,"slca",7.56478169014084,0.55,46,8.11121059386874,71,10,30
3,9,1,"cphl",0.482789285714286,0.0245,2.962,0.520325979879597,56,30,100
3,9,1,"ntrz",4.07694202898551,0,19.1999999999999,4.40622709284203,138,30,100
3,9,1,"phos",1.04811313868613,0.02,2.64,0.592761812324002,137,30,100
3,9,1,"slca",8.84223529411764,1,51,7.50794889802386,136,30,100
4,9,1,"cphl",0.0445444444444444,0.0123,0.1383,0.0369262816673677,9,100,5000
4,9,1,"ntrz",12.7052118055555,0.1,23.884,6.66725830845615,144,100,5000
4,9,1,"phos",1.52708823529412,0.08,3.65,0.613205242911899,136,100,5000
4,9,1,"slca",15.3946136363636,2,64,8.16954137430089,154,100,5000
1,10,1,"cphl",0.831230367647059,0.101,4.44,0.704385204666592,136,0,10
1,10,1,"ntrz",0.848131355932203,0,14.1999999999999,1.74421308810039,118,0,10
1,10,1,"phos",0.26545,0.01,0.84,0.150326851258524,130,0,10
1,10,1,"slca",1.43866810344828,0.176,4.46,0.755290660848569,116,0,10
2,10,1,"cphl",0.795382154696133,0.13,4.76,0.603465607355914,181,10,30
2,10,1,"ntrz",0.800505464480874,0,7.9,1.17551063137492,183,10,30
2,10,1,"phos",0.280106598984771,0.05,1.12,0.168025702015685,197,10,30
2,10,1,"slca",1.57182727272727,0.196,4.409,0.783287540369438,165,10,30
3,10,1,"cphl",0.283854811083124,0.002,2.468,0.352623361787847,397,30,100
3,10,1,"ntrz",6.12182738095238,0,16.1999999999999,4.12631475893699,420,30,100
3,10,1,"phos",0.682742117117117,0.01,1.455,0.312970801912389,444,30,100
3,10,1,"slca",4.53609322033898,0.69,12.3699999999999,2.38212928821657,413,30,100
4,10,1,"cphl",0.0305606060606061,0,0.21,0.0344195279491515,66,100,5000
4,10,1,"ntrz",17.285497752809,0,30.35,4.55109186755572,445,100,5000
4,10,1,"phos",1.19451746724891,0.21,1.85,0.238341274544629,458,100,5000
4,10,1,"slca",11.8475936967632,1,30,3.56311730448301,587,100,5000
1,11,1,"cphl",0.766583333333333,0.19,2.4,0.50802618185412,24,0,10
1,11,1,"ntrz",3.24333333333333,0,8.8,2.57041980443166,24,0,10
1,11,1,"phos",0.328375,0.08,0.88,0.207125001639946,24,0,10
1,11,1,"slca",2.83285714285714,1,5.55,1.33236685209871,21,0,10
2,11,1,"cphl",0.72825,0.29,1.69,0.416974899324488,16,10,30
2,11,1,"ntrz",1.05133333333333,0,3.7,1.27874305844599,15,10,30
2,11,1,"phos",0.380052631578948,0.09,1.02,0.225080349525875,19,10,30
2,11,1,"slca",1.80230769230769,1,3.6,0.79112950737278,13,10,30
3,11,1,"cphl",0.295285714285714,0.015,0.718,0.201465168914416,21,30,100
3,11,1,"ntrz",4.57652,0,12.6999999999999,3.89497726908214,25,30,100
3,11,1,"phos",0.4983125,0.08,0.91,0.260469976908986,32,30,100
3,11,1,"slca",3.56913043478261,1,12.14,2.69450604858289,23,30,100
4,11,1,"cphl",0.021375,0.01,0.05,0.0134476498212247,8,100,5000
4,11,1,"ntrz",14.3983225806451,1.6,22.68,5.44749474766212,31,100,5000
4,11,1,"phos",0.942973684210526,0.08,1.82,0.407778390188812,38,100,5000
4,11,1,"slca",9.54633333333332,3,18.0799999999999,4.00156131884864,30,100,5000
1,12,1,"cphl",0.786826086956522,0.26,2.87,0.450214482433914,46,0,10
1,12,1,"ntrz",3.11210810810811,0.1,6.05,1.84466758197459,37,0,10
1,12,1,"phos",0.342341463414634,0,0.693,0.208622339378612,41,0,10
1,12,1,"slca",4.73415384615385,0.07,17,4.19865455299488,26,0,10
2,12,1,"cphl",0.749862068965518,0.24,2.88,0.503656017684719,58,10,30
2,12,1,"ntrz",3.79428846153846,0.2,6.44,1.73326182736977,52,10,30
2,12,1,"phos",0.3812,0,1,0.216208922815606,60,10,30
2,12,1,"slca",3.33953333333333,0.07,6.119,1.50401115947193,30,10,30
3,12,1,"cphl",0.402338709677419,0.009,0.96,0.213290684704969,62,30,100
3,12,1,"ntrz",6.111825,0.5,16.5,3.84625526175884,80,30,100
3,12,1,"phos",0.461021978021978,0.02,1.198,0.242526469484237,91,30,100
3,12,1,"slca",5.20758928571428,0.07,19,3.84605419418531,56,30,100
4,12,1,"cphl",0.0631428571428571,0,0.24,0.0825760832433309,7,100,5000
4,12,1,"ntrz",16.80308,3.7,25.76,5.43368959005582,75,100,5000
4,12,1,"phos",1.19425,0.27,1.87,0.384966858733622,100,100,5000
4,12,1,"slca",12.823546875,2.999,46,7.31275002216381,64,100,5000
1,1,2,"cphl",0.882,0.26,2.06,0.635536518751414,10,0,10
1,1,2,"ntrz",14.5094444444444,11.77,16.53,1.18810017512994,18,0,10
1,1,2,"phos",1.01055555555556,0.49,1.58,0.34502296977622,18,0,10
1,1,2,"slca",8.88055555555555,5.47,13.99,2.01072264510935,18,0,10
2,1,2,"cphl",NA,NA,NA,NA,0,10,30
2,1,2,"ntrz",NA,NA,NA,NA,0,10,30
2,1,2,"phos",NA,NA,NA,NA,0,10,30
2,1,2,"slca",NA,NA,NA,NA,0,10,30
3,1,2,"cphl",NA,NA,NA,NA,0,30,100
3,1,2,"ntrz",NA,NA,NA,NA,0,30,100
3,1,2,"phos",NA,NA,NA,NA,0,30,100
3,1,2,"slca",NA,NA,NA,NA,0,30,100
4,1,2,"cphl",NA,NA,NA,NA,0,100,5000
4,1,2,"ntrz",NA,NA,NA,NA,0,100,5000
4,1,2,"phos",NA,NA,NA,NA,0,100,5000
4,1,2,"slca",NA,NA,NA,NA,0,100,5000
1,2,2,"cphl",1.10349884803922,0,7.37262,0.946194359484505,408,0,10
1,2,2,"ntrz",7.65416543209876,0.091,19.6999999999999,2.18038671683275,405,0,10
1,2,2,"phos",0.822438461538462,0.08,1.353,0.214834012706605,390,0,10
1,2,2,"slca",5.68756608478803,0.258,15,2.37715449145546,401,0,10
2,2,2,"cphl",1.43255172413793,0.404,3.75,0.961929592991047,29,10,30
2,2,2,"ntrz",5.59835,0.8,11.1,2.94302138548528,60,10,30
2,2,2,"phos",0.582116666666667,0.19,1.05,0.23726864497233,60,10,30
2,2,2,"slca",5.80725454545454,1,16,3.18121078288092,55,10,30
3,2,2,"cphl",1.11874700315457,0.10452,7.73226,1.24573279106363,317,30,100
3,2,2,"ntrz",8.7338111111111,0.2145,29.6999999999999,3.71735249978739,360,30,100
3,2,2,"phos",0.819424715909091,0.08,1.71,0.231401411538537,352,30,100
3,2,2,"slca",6.32019830028328,0,29,3.32946096089303,353,30,100
4,2,2,"cphl",0.200981538461538,0.021,0.83358,0.187121188138069,39,100,5000
4,2,2,"ntrz",12.6348604651163,2.6,20.193,3.10433715861408,43,100,5000
4,2,2,"phos",1.0190487804878,0.22,1.643,0.233949481856609,41,100,5000
4,2,2,"slca",9.14440697674418,2,16.6969999999999,2.61089374465958,43,100,5000
1,3,2,"cphl",2.13316714285715,0.21,20.43,2.29943595495645,420,0,10
1,3,2,"ntrz",6.11935054347826,0.01,11.3729999999999,3.24113316059355,184,0,10
1,3,2,"phos",0.703367816091954,0.011,1.079,0.221049865686588,174,0,10
1,3,2,"slca",5.36828275862069,0,24,3.03787479787234,145,0,10
2,3,2,"cphl",2.43927817745803,0.12,9.99,2.21080098157288,417,10,30
2,3,2,"ntrz",3.97734513274336,0,10.6,3.34514841057141,113,10,30
2,3,2,"phos",0.620043103448276,0.011,1.059,0.221433055630674,116,10,30
2,3,2,"slca",3.373421875,0.28,15,2.79823082318656,64,10,30
3,3,2,"cphl",1.93984174757282,0.0645,20.5659999999999,2.22268513603944,412,30,100
3,3,2,"ntrz",6.48522248803827,0.01,13.4415,3.48217304735871,209,30,100
3,3,2,"phos",0.737939393939394,0.14,1.095,0.194958915009709,198,30,100
3,3,2,"slca",5.5500064516129,0,12,2.7294391359236,155,30,100
4,3,2,"cphl",0.305642857142857,0.016,1.003,0.29022341716018,14,100,5000
4,3,2,"ntrz",12.7003333333333,8.26,17.8799999999999,3.38150709567422,15,100,5000
4,3,2,"phos",1.03246666666667,0.631,1.443,0.254228768369488,15,100,5000
4,3,2,"slca",9.60613333333333,4.155,15.4949999999999,3.5079200566446,15,100,5000
1,4,2,"cphl",2.39680363636364,0.31,7.509,2.04550379613105,55,0,10
1,4,2,"ntrz",3.77160810810811,0,9.78999999999999,2.65370475887905,111,0,10
1,4,2,"phos",0.549190677966102,0.05,1.465,0.229051984540101,118,0,10
1,4,2,"slca",2.84363235294118,0,11,2.3308059912706,102,0,10
2,4,2,"cphl",2.23511666666667,0.26,9.045,2.3897705260428,36,10,30
2,4,2,"ntrz",4.63842857142857,0,9.93,2.45596277623732,154,10,30
2,4,2,"phos",0.598748447204969,0.08,1.84,0.225857097548868,161,10,30
2,4,2,"slca",3.34434353741496,0,14,2.39261029848579,147,10,30
3,4,2,"cphl",1.65094418604651,0.1698,7.253,1.72420053003211,43,30,100
3,4,2,"ntrz",6.10419066666667,0.6,13.265,2.44765645669339,375,30,100
3,4,2,"phos",0.714818527918782,0.1,2.24,0.235070542034043,394,30,100
3,4,2,"slca",4.60324137931034,0,17,2.82170351021502,377,30,100
4,4,2,"cphl",NA,NA,NA,NA,0,100,5000
4,4,2,"ntrz",13.8696551724138,6.535,20.8299999999999,4.69064112489556,29,100,5000
4,4,2,"phos",1.03887096774194,0.46,1.46,0.255511609903932,31,100,5000
4,4,2,"slca",9.93803571428571,3.545,21,3.7302959715972,28,100,5000
1,5,2,"cphl",1.93101226993865,0.07,6.7,1.49225339769287,326,0,10
1,5,2,"ntrz",1.65108108108108,0.04,18.1999999999999,2.56060168847761,74,0,10
1,5,2,"phos",0.297436781609195,0.01,1.21,0.234843624426356,87,0,10
1,5,2,"slca",2.62661290322581,0.39,23,3.03189652465651,62,0,10
2,5,2,"cphl",1.95155672823219,0.15,8.57,1.53609566701701,379,10,30
2,5,2,"ntrz",1.55730769230769,0.07,6.98,1.60295479846254,78,10,30
2,5,2,"phos",0.311302325581395,0.025,0.8,0.199904922681196,86,10,30
2,5,2,"slca",3.883125,0.3,21,3.4894843731526,64,10,30
3,5,2,"cphl",1.16283687943262,0.03,8.74,1.36735598368105,282,30,100
3,5,2,"ntrz",5.6698,0.06,29.1,5.72246485353994,100,30,100
3,5,2,"phos",0.460238095238095,0.013,1.31,0.302065757098883,105,30,100
3,5,2,"slca",5.25547368421052,0.3,21,3.5426347835201,95,30,100
4,5,2,"cphl",0.106666666666667,0.06,0.19,0.0723417813807024,3,100,5000
4,5,2,"ntrz",10.8811111111111,8.17,14.3,1.91364471914488,9,100,5000
4,5,2,"phos",0.562,0.08,1.07,0.422457986076722,9,100,5000
4,5,2,"slca",10.8225,5.55,19,5.18529996377121,8,100,5000
1,6,2,"cphl",2.27897058823529,0.2,27.25,3.08415767464821,136,0,10
