box,latitude,longitude
3,45.12882,-67.11832
3,45.07904,-67.08368
4,45.52394,-65.096
4,45.16,-64.82
4,45.10394,-64.94788
4,45.04906,-65.06636
4,45.00411,-65.15797
4,44.94495,-65.27819
4,44.90999,-65.34995
4,44.79817,-65.57436
4,44.68798,-65.79421
4,44.61653,-65.91299
4,44.60683,-65.95372
4,44.49555,-66.11057
4,44.40463,-66.21651
4,44.2953,-66.31598
4,44.28314,-66.34817
4,44.23706,-66.39513
4,44.2266,-66.37478
4,44.24945,-66.32706
4,44.37745,-66.2138
4,44.37673,-66.19884
4,44.48444,-66.07689
4,44.57756,-65.94009
4,44.5722,-65.90245
4,44.57722,-65.84878
4,44.5343,-65.88697
4,44.49455,-65.95472
4,44.43848,-66.02413
4,44.38665,-66.08002
4,44.33099,-66.12593
4,44.28321,-66.13428
4,44.22044,-66.14437
4,44.17743,-66.18062
4,44.1088,-66.21304
4,44.0832,-66.2077
4,44.05853,-66.17887
4,44.02645,-66.17063
4,43.9872,-66.15401
4,43.9699,-66.16744
4,43.9238,-66.15191
4,43.89443,-66.16763
4,43.89085,-66.15602
4,43.86724,-66.16789
4,43.85327,-66.16305
4,43.8377,-66.1506
4,43.79891,-66.16901
4,43.78974,-66.156
4,43.7825,-66.14046
4,43.774,-66.12974
4,43.7343,-66.11884
4,43.73501,-66.09756
4,43.72771,-66.07729
4,43.7014,-66.06026
4,43.71252,-66.03537
4,43.69677,-66.03308
4,43.67578,-66.01024
4,43.705,-66.00922
4,43.72966,-65.98672
4,43.69462,-65.97915
4,43.73404,-65.9641
4,43.7175,-65.94579
4,43.69692,-65.92273
4,43.69052,-65.8789
4,43.72719,-65.87624
4,43.75078,-65.86787
4,43.75147,-65.84039
4,43.70584,-65.82685
4,43.71358,-65.82139
4,43.66471,-65.82473
4,43.59186,-65.80379
4,43.59569,-65.79583
4,43.63954,-65.78837
4,43.64302,-65.80239
4,43.68154,-65.79329
4,43.67514,-65.77273
4,43.65474,-65.76817
4,43.59922,-65.7785
4,43.55131,-65.77702
4,43.53184,-65.74956
4,43.53279,-65.74034
4,43.49401,-65.73243
4,43.49115,-65.69672
4,43.49891,-65.6822
4,43.4848,-65.669
4,43.48405,-65.65504
4,43.50222,-65.63942
4,43.51956,-65.61113
4,43.52848,-65.5949
4,43.55567,-65.58294
4,43.56084,-65.56411
4,43.52833,-65.55463
4,43.4961,-65.51886
4,43.48412,-65.48812
4,43.46139,-65.48993
4,43.44897,-65.47131
4,43.46386,-65.46438
4,43.50627,-65.46818
4,43.52871,-65.44851
4,43.54701,-65.44817
4,43.53651,-65.43103
4,43.4788,-65.4143
4,43.48717,-65.39401
4,43.53563,-65.40476
4,43.55537,-65.43736
4,43.59926,-65.4611
4,43.56119,-65.41356
4,43.54887,-65.38694
4,43.56946,-65.36762
4,43.54304,-65.36111
4,43.53695,-65.34018
4,43.61079,-65.32109
4,43.62786,-65.34344
4,43.64764,-65.32878
4,43.67787,-65.32719
4,43.6872,-65.34054
4,43.72053,-65.36231
4,43.73586,-65.33307
4,43.73742,-65.31603
4,43.6888,-65.32117
4,43.68314,-65.30577
4,43.65738,-65.25683
4,43.65723,-65.23571
4,43.69412,-65.23228
4,43.69773,-65.21693
4,43.76446,-65.23728
4,43.76506,-65.2207
4,43.69603,-65.16735
4,43.70525,-65.16362
4,43.73673,-65.16034
4,43.72368,-65.14443
4,43.6717,-65.14517
4,43.65895,-65.12708
4,43.68824,-65.10266
4,43.72069,-65.09597
4,43.68744,-65.06719
4,43.69517,-65.02779
4,43.7302,-64.99979
4,43.76124,-65.00597
4,43.71,-64.97
4,43.54,-64.8
4,43.45,-64.33
4,43.32,-63.63
4,42.79,-63.85
4,42.73,-64.23
4,42.42,-64.95
4,42.13,-65.55
4,42.56,-66.1
4,42.79,-67
4,44,-67
4,44.59194,-66.89822
4,44.6,-66.78
4,44.6275,-66.68675
4,44.68331,-66.69268
4,44.76338,-66.73121
4,44.79945,-66.77882
4,45.04316,-66.77476
4,45.05681,-66.73512
4,45.07514,-66.74008
4,45.08535,-66.71385
4,45.05777,-66.71811
4,45.06675,-66.68371
4,45.07739,-66.64667
4,45.09036,-66.64352
4,45.09748,-66.61378
4,45.10877,-66.60213
4,45.09768,-66.58607
4,45.1047,-66.56838
4,45.12091,-66.58278
4,45.13371,-66.54038
4,45.11804,-66.52048
4,45.14238,-66.50233
4,45.13885,-66.48907
4,45.12387,-66.48791
4,45.11646,-66.47701
4,45.08134,-66.46927
4,45.06134,-66.45242
4,45.08784,-66.41353
4,45.09493,-66.43172
4,45.09905,-66.39707
4,45.11647,-66.37472
4,45.11339,-66.3532
4,45.13535,-66.34175
4,45.12459,-66.32386
4,45.12775,-66.31355
4,45.13443,-66.28765
4,45.13716,-66.27449
4,45.14261,-66.25116
4,45.15372,-66.26259
4,45.1708,-66.25168
4,45.18543,-66.24829
4,45.17392,-66.23012
4,45.15793,-66.23048
4,45.14324,-66.23759
4,45.14167,-66.21807
4,45.18233,-66.14532
4,45.1995,-66.15514
4,45.20881,-66.13335
4,45.22681,-66.09603
4,45.23772,-66.05587
4,45.2709,-66.03529
4,45.21657,-66
4,45.20535,-65.94956
4,45.19448,-65.91685
4,45.21488,-65.85493
4,45.261,-65.80607
4,45.25902,-65.73105
4,45.29526,-65.65832
4,45.30448,-65.57852
4,45.32206,-65.52862
4,45.34987,-65.53963
4,45.39005,-65.45253
4,45.42687,-65.37069
4,45.44859,-65.34024
4,45.48975,-65.18684
4,45.51077,-65.1528
4,45.52394,-65.096
5,45.05992,-61.81917
5,45.02,-61.73
5,44.8,-61.4
5,44.35,-61
5,43.7,-62.15
5,43.71,-62.56
5,43.45,-62.75
5,42.91,-62.77
5,42.79,-63.85
5,43.32,-63.63
5,43.45,-64.33
5,43.54,-64.8
5,43.71,-64.97
5,43.76124,-65.00597
5,43.766,-65.00277
5,43.7611,-64.99068
5,43.74745,-64.98669
5,43.73773,-64.96793
5,43.74412,-64.96453
5,43.76358,-64.94642
5,43.78089,-64.93888
5,43.79524,-64.92437
5,43.81172,-64.93327
5,43.81864,-64.93703
5,43.84131,-64.95133
5,43.85847,-64.97508
5,43.87074,-64.97146
5,43.85557,-64.95048
5,43.83414,-64.93776
5,43.81269,-64.92599
5,43.78873,-64.90477
5,43.79654,-64.88683
5,43.81834,-64.89265
5,43.83245,-64.87652
5,43.84661,-64.88134
5,43.87687,-64.91755
5,43.86607,-64.88373
5,43.84649,-64.86267
5,43.8233,-64.85469
5,43.81507,-64.83332
5,43.83944,-64.83125
5,43.84553,-64.80799
5,43.85973,-64.81176
5,43.86775,-64.78358
5,43.90163,-64.80801
5,43.92474,-64.83583
5,43.9372,-64.82224
5,43.94778,-64.82637
5,43.95296,-64.73364
5,43.9689,-64.71548
5,43.99094,-64.66128
5,44.01605,-64.66308
5,44.04107,-64.65359
5,44.05993,-64.56078
5,44.09471,-64.55481
5,44.12613,-64.53239
5,44.14968,-64.59882
5,44.15666,-64.54857
5,44.14999,-64.48753
5,44.20471,-64.43698
5,44.23921,-64.40737
5,44.2158,-64.38431
5,44.1797,-64.39445
5,44.18353,-64.34504
5,44.22973,-64.32169
5,44.28186,-64.35526
5,44.27174,-64.33601
5,44.23802,-64.27725
5,44.29304,-64.23123
5,44.32047,-64.25653
5,44.37342,-64.31465
5,44.35749,-64.20122
5,44.36771,-64.20023
5,44.40059,-64.26306
5,44.44752,-64.36588
5,44.45759,-64.29739
5,44.51413,-64.3045
5,44.551,-64.29653
5,44.52501,-64.22257
5,44.57615,-64.19073
5,44.57171,-64.16358
5,44.52907,-64.12444
5,44.48871,-64.11452
5,44.47489,-64.07255
5,44.52368,-64.04432
5,44.51134,-63.99967
5,44.58247,-64.05777
5,44.6206,-64.05394
5,44.64393,-63.98146
5,44.6538,-63.93336
5,44.61756,-63.93773
5,44.57348,-63.91965
5,44.52004,-63.94559
5,44.48248,-63.87607
5,44.49068,-63.81769
5,44.46725,-63.78482
5,44.43503,-63.72431
5,44.4723,-63.70843
5,44.46018,-63.64676
5,44.43286,-63.64694
5,44.47984,-63.59275
5,44.45449,-63.58212
5,44.46756,-63.55536
5,44.50383,-63.51886
5,44.56058,-63.5559
5,44.58422,-63.54444
5,44.61064,-63.56744
5,44.64234,-63.56013
5,44.67883,-63.61047
5,44.66562,-63.62944
5,44.68307,-63.6587
5,44.71705,-63.66192
5,44.71378,-63.64271
5,44.69578,-63.61667
5,44.67512,-63.59469
5,44.66254,-63.55695
5,44.63591,-63.53437
5,44.60785,-63.5
5,44.58541,-63.45832
5,44.61756,-63.44309
5,44.61104,-63.42047
5,44.64776,-63.41134
5,44.63232,-63.31057
5,44.63645,-63.30222
5,44.62918,-63.26708
5,44.67978,-63.23793
5,44.6704,-63.21977
5,44.69164,-63.17891
5,44.67903,-63.16402
5,44.69495,-63.13466
5,44.68655,-63.09761
5,44.6869,-63.06825
5,44.67276,-63.04834
5,44.70019,-63.01509
5,44.69662,-62.99879
5,44.72182,-62.95947
5,44.7277,-62.9017
5,44.71143,-62.87873
5,44.69683,-62.84676
5,44.70933,-62.8223
5,44.7168,-62.80169
5,44.7426,-62.83616
5,44.73417,-62.80355
5,44.72784,-62.77904
5,44.72735,-62.75594
5,44.73561,-62.74969
5,44.76613,-62.75422
5,44.75596,-62.73783
5,44.74484,-62.70336
5,44.76913,-62.7207
5,44.78618,-62.74689
5,44.78583,-62.70548
5,44.79442,-62.67595
5,44.77398,-62.65008
5,44.79931,-62.65562
5,44.77967,-62.60678
5,44.79646,-62.60551
5,44.82812,-62.62044
5,44.8231,-62.59299
5,44.80191,-62.5668
5,44.78877,-62.54421
5,44.81916,-62.55361
5,44.83293,-62.57569
5,44.83172,-62.54089
5,44.81449,-62.50933
5,44.83817,-62.50871
5,44.84231,-62.52069
5,44.85346,-62.51229
5,44.88767,-62.49049
5,44.89548,-62.4813
5,44.88177,-62.47924
5,44.84326,-62.48941
5,44.82508,-62.4635
5,44.82223,-62.44752
5,44.84804,-62.45029
5,44.8539,-62.43587
5,44.85492,-62.42834
5,44.86607,-62.41424
5,44.87132,-62.39673
5,44.88928,-62.41858
5,44.90788,-62.38692
5,44.89552,-62.36855
5,44.88378,-62.34541
5,44.89662,-62.32266
5,44.91036,-62.30349
5,44.89867,-62.29018
5,44.92367,-62.27586
5,44.90618,-62.25582
5,44.92992,-62.26636
5,44.95681,-62.23942
5,44.93045,-62.20487
5,44.90999,-62.17304
5,44.90974,-62.15013
5,44.94129,-62.17267
5,44.95861,-62.13024
5,44.92635,-62.09146
5,44.93044,-62.04604
5,44.9429,-62.01587
5,44.97374,-62.0436
5,44.97664,-61.98839
5,44.9863,-61.92802
5,45.01251,-61.94928
5,45.02094,-61.88733
5,45.04611,-61.87935
5,45.03663,-61.85125
5,45.05992,-61.81917
6,47.26037,-60.1235
6,47.0033,-59.825
6,46.38,-59.03
6,46.02,-58.5
6,45.82,-58.2
6,45.12,-57.6
6,44.45,-57.06
6,43.91,-58.88
6,43.9,-58.97
6,43.3,-61
6,43.01,-61.82
6,42.96,-62.2
6,42.91,-62.77
6,43.45,-62.75
6,43.71,-62.56
6,43.7,-62.15
6,44.35,-61
6,44.8,-61.4
6,45.02,-61.73
6,45.05992,-61.81917
6,45.09802,-61.82643
6,45.09254,-61.80402
6,45.07063,-61.74377
6,45.092,-61.77348
6,45.0902,-61.73239
6,45.09747,-61.72285
6,45.08909,-61.69381
6,45.09082,-61.65344
6,45.11534,-61.68451
6,45.12113,-61.64613
6,45.14389,-61.66879
6,45.15899,-61.63909
6,45.14644,-61.59353
6,45.15048,-61.57134
6,45.15134,-61.55115
6,45.15487,-61.51767
6,45.15011,-61.46426
6,45.16323,-61.44953
6,45.1789,-61.45394
6,45.16136,-61.41421
6,45.17341,-61.36217
6,45.18564,-61.33542
6,45.19168,-61.31017
6,45.20116,-61.31583
6,45.20415,-61.37159
6,45.22599,-61.359
6,45.23414,-61.32173
6,45.2515,-61.30755
6,45.25331,-61.28144
6,45.24457,-61.26145
6,45.21741,-61.23922
6,45.22705,-61.21688
6,45.20737,-61.1913
6,45.19847,-61.17621
6,45.19671,-61.13707
6,45.20011,-61.10706
6,45.22283,-61.05666
6,45.23104,-61.0423
6,45.25361,-61.0356
6,45.27075,-61.02386
6,45.27837,-61.01882
6,45.2485,-60.99499
6,45.24357,-60.98062
6,45.27492,-60.97738
6,45.29259,-60.93996
6,45.3265,-60.92612
6,45.35443,-60.94114
6,45.35393,-61.01534
6,45.34606,-61.09132
6,45.35824,-61.14039
6,45.35394,-61.20843
6,45.34954,-61.28976
6,45.35058,-61.35496
6,45.35583,-61.46716
6,45.38072,-61.48757
6,45.40201,-61.43493
6,45.4127,-61.38327
6,45.43097,-61.32315
6,45.45347,-61.26516
6,45.48258,-61.2296
6,45.52248,-61.24937
6,45.53646,-61.30056
6,45.54873,-61.29357
6,45.56106,-61.27737
6,45.56999,-61.28802
6,45.57864,-61.2642
6,45.5872,-61.23418
6,45.57318,-61.23521
6,45.56065,-61.22632
6,45.56061,-61.21107
6,45.56471,-61.17769
6,45.54289,-61.19908
6,45.52664,-61.19923
6,45.51537,-61.18606
6,45.52461,-61.15332
6,45.52912,-61.1183
6,45.5057,-61.10151
6,45.49508,-61.0617
6,45.47569,-61.02973
6,45.4694,-60.99701
6,45.49591,-60.96202
6,45.47909,-60.95002
6,45.49008,-60.92177
6,45.51573,-60.91408
6,45.52849,-60.97866
6,45.54912,-60.96122
6,45.55898,-60.89435
6,45.57804,-60.88815
6,45.59118,-60.94035
6,45.61941,-60.93666
6,45.62936,-60.90915
6,45.61998,-60.87253
6,45.6136,-60.83335
6,45.60328,-60.77648
6,45.56903,-60.74012
6,45.56611,-60.68611
6,45.57102,-60.67697
6,45.58257,-60.68878
6,45.60341,-60.62621
6,45.6148,-60.6231
6,45.6093,-60.59806
6,45.62168,-60.57151
6,45.62592,-60.51844
6,45.64106,-60.47885
6,45.64298,-60.42255
6,45.65745,-60.4122
6,45.65165,-60.40295
6,45.67495,-60.35163
6,45.70734,-60.32234
6,45.70169,-60.28128
6,45.71628,-60.23207
6,45.72711,-60.22632
6,45.75318,-60.21686
6,45.77701,-60.18496
6,45.78079,-60.11598
6,45.8052,-60.08072
6,45.81932,-60.07623
6,45.83166,-60.12445
6,45.8399,-60.14638
6,45.84863,-60.17257
6,45.85872,-60.1688
6,45.88464,-60.12917
6,45.8716,-60.06503
6,45.87253,-59.99417
6,45.88591,-59.97654
6,45.89547,-59.9734
6,45.909,-59.98002
6,45.90598,-59.95546
6,45.91817,-59.91936
6,45.92938,-59.90769
6,45.93986,-59.87702
6,45.94378,-59.83628
6,45.94406,-59.80383
6,45.95068,-59.78755
6,45.96713,-59.80362
6,45.97983,-59.81869
6,45.98544,-59.83217
6,45.989,-59.825
6,46.0031,-59.79541
6,45.9956,-59.73247
6,45.9942,-59.69726
6,46.01817,-59.71044
6,46.03716,-59.66223
6,46.03145,-59.72047
6,46.00884,-59.78939
6,45.99424,-59.84701
6,46.00684,-59.82203
6,46.0136,-59.82973
6,46.01596,-59.84158
6,46.01239,-59.93911
6,46.0356,-59.96704
6,46.04662,-59.92238
6,46.05357,-59.89642
6,46.12649,-59.79805
6,46.12981,-59.802
6,46.10979,-59.87894
6,46.11975,-59.8849
6,46.17167,-59.81139
6,46.17947,-59.81473
6,46.18314,-59.83042
6,46.18088,-59.84814
6,46.18883,-59.85808
6,46.19107,-59.87641
6,46.1872,-59.90247
6,46.1787,-59.92291
6,46.19678,-59.9409
6,46.21757,-59.95404
6,46.22152,-60.00297
6,46.22061,-60.03902
6,46.2427,-60.02757
6,46.26754,-60.12662
6,46.26263,-60.13396
6,46.20514,-60.21254
6,46.18606,-60.20335
6,46.15705,-60.20477
6,46.15953,-60.21987
6,46.18194,-60.22475
6,46.18751,-60.22853
6,46.1705,-60.27081
6,46.18453,-60.27774
6,46.21065,-60.23596
6,46.25153,-60.2052
6,46.2618,-60.20629
6,46.26843,-60.24268
6,46.30796,-60.27075
6,46.33974,-60.29062
6,46.32582,-60.36376
6,46.29426,-60.40766
6,46.29834,-60.41778
6,46.34221,-60.415
6,46.34565,-60.44792
6,46.29445,-60.53316
6,46.31231,-60.54496
6,46.34855,-60.51731
6,46.36861,-60.52329
6,46.43067,-60.45815
6,46.484,-60.43902
6,46.52183,-60.41671
6,46.62504,-60.34977
6,46.63418,-60.38757
6,46.65542,-60.35058
6,46.66607,-60.40571
6,46.68776,-60.35733
6,46.70115,-60.34329
6,46.71905,-60.34995
6,46.74368,-60.32439
6,46.76834,-60.32304
6,46.78255,-60.31779
6,46.80594,-60.33062
6,46.807,-60.31604
6,46.84802,-60.30185
6,46.88476,-60.35159
6,46.87448,-60.36275
6,46.87606,-60.40504
6,46.88878,-60.43952
6,46.92019,-60.45789
6,46.95693,-60.45574
6,46.99692,-60.40326
6,47.01892,-60.38735
6,47.02902,-60.39098
6,47.03394,-60.40792
6,47.02811,-60.43519
6,47.00244,-60.47132
6,47.00891,-60.5143
6,47.26037,-60.1235
7,44.53,-53.31
7,43.49,-51.36
7,42.97,-50.42
7,42.62,-50.35
7,42,-50.26
7,42,-52
7,43.51,-55
7,43.51,-55.09
7,41.5,-61
7,42.25,-61.4
7,43.01,-61.82
7,43.3,-61
7,43.9,-58.97
7,43.91,-58.88
7,44.45,-57.06
7,44.68,-56.25
7,45,-56.02
7,45.08,-55.62
7,45.2,-54.92
7,45.26,-54.57
7,45,-54.26
7,44.53,-53.31
8,44.68,-56.25
8,44.45,-57.06
8,45.12,-57.6
8,45.82,-58.2
8,46.02,-58.5
8,46.38,-59.03
8,47.0033,-59.825
8,47.26037,-60.1235
8,47.455,-59.8417
8,47.82652,-59.33022
8,47.76822,-59.33546
8,47.73872,-59.29997
8,47.69128,-59.32132
8,47.63114,-59.31836
8,47.57678,-59.2673
8,47.53,-59.15
8,47.3,-58.46
8,46.9,-57.85
8,46.54,-57.55
8,46.49,-57.38
8,45,-56.02
8,44.68,-56.25
9,46.88,-57.02
9,46.58,-56.15
9,46.7,-55.87
9,46.79,-54.44
9,46.43,-54.5
9,46.51,-52.88
9,45.91,-52.68
9,45.24,-50.76
9,45.21,-49
9,43.18,-49.72
9,42.97,-50.42
9,43.49,-51.36
9,44.53,-53.31
9,45,-54.26
9,45.26,-54.57
9,45.2,-54.92
9,45.08,-55.62
9,45,-56.02
9,46.49,-57.38
9,46.54,-57.55
9,46.88,-57.02
